rownum,id,author,author-aux,author-orcid,booktitle,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,key,mdate,month,note,note-type,number,pages,publtype,sub,sup,title,title-bibtex,tt,url,volume,year,reviewers,chair,conference_keywords,conference_type,supervisor,paper_keywords,decison_reviewer_0,review_reviewer_0,decison_reviewer_1,review_reviewer_1,paper_type,proceedings_keywords
10,159854,Karl-Hans Bläsius,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_73,,,journals/lncs/Blasius91,2017-05-20,,,,,428-438,,,,Knowledge Based Control of the LILOG Inference Engine: Kinds of Metaknowledge.,,,db/journals/lncs/lncs546.html#Blasius91,,1991,Tajanka Mladenovska|Michael Schmitt 0002,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,David H. Stern,Quantum computing|Algorithm analysis|Computer networks,accept,Ut tempora eius tempora dolorem sed quaerat.,accept,Dolor dolore tempora velit.,Full Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
11,159855,Kai von Luck|Thomas Pirlein,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_88,,,journals/lncs/LuckP91,2017-05-20,,,,,703-710,,,,Constructing a Context for LEU/2.,,,db/journals/lncs/lncs546.html#LuckP91,,1991,David M. Shaw|Inga Ulnicane,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Brendan J. Frey,Deep learning|Computer networks,reject,Dolor velit sed voluptatem neque ipsum.,accept,Sed porro quiquia velit.,Full Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
12,159856,Arif Ghafoor|P. Bruce Berra,,,Advanced Database Systems,,,,journals/lncs/1993-759,,,https://doi.org/10.1007/3-540-57507-3_20,,,journals/lncs/GhafoorB93,2017-05-20,,,,,397-411,,,,Multimedia Database Systems.,,,db/journals/lncs/lncs759.html#GhafoorB93,,1993,Daniel Görgen|Bernd Sturmfels,Boaz Nadler|Manfred Georg|Katherine A. Austin,Computer graphics|Human-computer interaction|Computer vision|Natural language processing,Symposium,Boaz Nadler,High-performance computing,reject,Voluptatem modi etincidunt amet consectetur magnam aliquam.,accept,Dolor etincidunt aliquam modi adipisci.,Demo Paper,Artificial intelligence|High-performance computing|Distributed computing|Natural language processing|Computer graphics
13,159857,Jochen Dörre,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_49,,,journals/lncs/Dorre91,2017-05-20,,,,,39-50,,,,The Language STUF.,,,db/journals/lncs/lncs546.html#Dorre91,,1991,Nicholas G. Evans|Lisa A. Bero,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Junsong Yuan,Artificial intelligence,reject,Sed quiquia sit adipisci numquam porro numquam porro.,accept,Numquam numquam velit labore quaerat voluptatem sit ipsum.,Full Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
14,159858,Gudrun Klose|Kai von Luck,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_75,,,journals/lncs/KloseL91,2017-05-20,,,,,455-463,,,,The Background Knowledge of the LILOG System.,,,db/journals/lncs/lncs546.html#KloseL91,,1991,Dirk Frosch-Wilke|Jeffrey T. Mason,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Brendan J. Frey,Computer networks|Human-computer interaction|Distributed computing,accept,Est dolor magnam amet amet tempora porro.,accept,Porro ut tempora non ut etincidunt.,Poster,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
15,159859,Antoine Rauzy,,,Constraint Programming,,,,journals/lncs/1994-910,,,https://doi.org/10.1007/3-540-59155-9_11,,,journals/lncs/Rauzy94,2017-05-20,,,,,193-208,,,,Toupie: a Constraint Language for Model Checking,,,db/journals/lncs/lncs910.html#Rauzy94,,1994,Jose A. García 0001|Maria Pina Dore,Horst Schmitt|Philip M. Long|Jeffrey T. Mason|George R. Hoffmann,Cryptography|Deep learning|Human-computer interaction|High-performance computing,Regular,Horst Schmitt,Information theory|High-performance computing|Natural language processing,reject,Eius quisquam magnam etincidunt dolorem non amet dolor.,reject,Ipsum etincidunt amet velit eius neque quiquia tempora.,Demo Paper,Algorithm analysis|Distributed computing|Machine learning|Human-computer interaction
16,159860,Birgit Wesche,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_62,,,journals/lncs/Wesche91,2017-05-20,,,,,200-215,,,,An Alternative Phrase Structure Account of Symmetric Coordination.,,,db/journals/lncs/lncs546.html#Wesche91,,1991,Sebastian Millies|Torbjørn Gundersen,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Sreangsu Acharyya,Deep learning|Distributed computing,reject,Porro velit amet eius porro dolore.,reject,Sed etincidunt adipisci dolore tempora modi.,Short Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
17,159861,Roland Seiffert,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_50,,,journals/lncs/Seifert91,2017-05-20,,,,,51-54,,,,Chart-Parsing of STUF Grammars.,,,db/journals/lncs/lncs546.html#Seifert91,,1991,Shahryar Sorooshian|Mera Ababneh,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,David H. Stern,Machine learning|Robotics|Quantum computing,accept,Quisquam quaerat magnam velit modi eius quiquia.,reject,Amet neque numquam non etincidunt eius etincidunt.,Full Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
18,159863,Hava T. Siegelmann|Ophir Frieder,,,Advanced Database Systems,,,,journals/lncs/1993-759,,,https://doi.org/10.1007/3-540-57507-3_15,,,journals/lncs/SiegelmannF93,2017-05-20,,,,,289-310,,,,Document Allocation In Multiprocessor Information Retrieval Systems.,,,db/journals/lncs/lncs759.html#SiegelmannF93,,1993,Andreas Rock|Michael Herweg,Boaz Nadler|Manfred Georg|Katherine A. Austin,Computer graphics|Human-computer interaction|Computer vision|Natural language processing,Symposium,Manfred Georg,Natural language processing|Machine learning|High-performance computing,reject,Dolore magnam neque numquam consectetur voluptatem numquam.,reject,Sit etincidunt ut magnam.,Demo Paper,Artificial intelligence|High-performance computing|Distributed computing|Natural language processing|Computer graphics
19,159864,Helmar Gust,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_57,,,journals/lncs/Gust91,2017-05-20,,,,,127-142,,,,Representing Word Meanings.,,,db/journals/lncs/lncs546.html#Gust91,,1991,Charles E. Harris|Evan Selinger,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Brendan J. Frey,Natural language processing,reject,Dolorem sed dolore dolore aliquam.,accept,Ut dolorem non dolor.,Short Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
20,159865,Ewald Lang,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_76,,,journals/lncs/Lang91,2017-05-20,,,,,464-481,,,,The LILOG Ontology from a Linguistic Point of View.,,,db/journals/lncs/lncs546.html#Lang91,,1991,Jennifer A. Brundage|Manfred Laumen,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Brendan J. Frey,High-performance computing|Cybersecurity|Human-computer interaction,reject,Consectetur aliquam neque consectetur quisquam.,accept,Ipsum modi consectetur eius sed adipisci non.,Full Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
21,159867,Alexander Bockmayr,,0000-0002-5074-1347,Constraint Programming,,,,journals/lncs/1994-910,,,https://doi.org/10.1007/3-540-59155-9_2,,,journals/lncs/Bockmayr94,2018-11-02,,,,,22-38,,,,Solving Pseudo-Boolean Constraints,,,db/journals/lncs/lncs910.html#Bockmayr94,,1994,Patricia Osseweijer|Peter Bosch,Horst Schmitt|Philip M. Long|Jeffrey T. Mason|George R. Hoffmann,Cryptography|Deep learning|Human-computer interaction|High-performance computing,Regular,Horst Schmitt,Information theory|Robotics,reject,Aliquam quiquia dolorem amet.,reject,Etincidunt consectetur sed porro magnam ipsum.,Poster,Algorithm analysis|Distributed computing|Machine learning|Human-computer interaction
22,159868,Birgit Wesche|Tibor Kiss,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_63,,,journals/lncs/KissW91,2017-05-20,,,,,216-240,,,,Verb Order and Head Movement.,,,db/journals/lncs/lncs546.html#KissW91,,1991,Sebastian Pintea|N. C. Narayanan,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,David H. Stern,Deep learning,reject,Neque labore magnam etincidunt voluptatem.,accept,Quiquia ipsum neque tempora quiquia porro neque.,Short Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
23,159870,Esther König,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_54,,,journals/lncs/Konig91,2017-05-20,,,,,88-101,,,,Gap-Handling Mechanisma In Categorial Grammars.,,,db/journals/lncs/lncs546.html#Konig91,,1991,Nithin Kumar|Le Dung Muu,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,David H. Stern,Deep learning|Artificial intelligence|Computational complexity,accept,Magnam non adipisci quiquia porro neque ut porro.,reject,Neque adipisci ut quaerat quiquia sit etincidunt dolore.,Full Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
24,159871,Shirley Browne,,,Advanced Database Systems,,,,journals/lncs/1993-759,,,https://doi.org/10.1007/3-540-57507-3_19,,,journals/lncs/Browne93,2017-05-20,,,,,381-396,,,,Communication and Synchronization Issues in Distributed Multimedia Database Systems.,,,db/journals/lncs/lncs759.html#Browne93,,1993,Alejandro P. Buchmann|Flordeliz Bugarin,Boaz Nadler|Manfred Georg|Katherine A. Austin,Computer graphics|Human-computer interaction|Computer vision|Natural language processing,Symposium,Katherine A. Austin,Information theory,accept,Dolor neque modi sit eius ut.,reject,Quaerat sed dolorem modi sit.,Full Paper,Artificial intelligence|High-performance computing|Distributed computing|Natural language processing|Computer graphics
25,159872,Nabil R. Adam|Ramesh Subramanian,,,Advanced Database Systems,,,,journals/lncs/1993-759,,,https://doi.org/10.1007/3-540-57507-3_7,,,journals/lncs/SubramanianA93,2017-05-20,,,,,127-150,,,,Applying OOAD in the Design and Implementation of an Intelligent Geographic Information System.,,,db/journals/lncs/lncs759.html#SubramanianA93,,1993,Steffen Steinert|Ralf Merz,Boaz Nadler|Manfred Georg|Katherine A. Austin,Computer graphics|Human-computer interaction|Computer vision|Natural language processing,Symposium,Manfred Georg,Computer vision,reject,Quisquam neque tempora sit ipsum quaerat dolorem sed.,accept,Etincidunt dolore tempora quisquam velit ipsum numquam numquam.,Poster,Artificial intelligence|High-performance computing|Distributed computing|Natural language processing|Computer graphics
26,159873,Barbara Gängler|Ipke Wachsmuth,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_70,,,journals/lncs/WachsmuthG91,2017-05-20,,,,,380-393,,,,Knowledge Packets and Knowledge Packet Structure.,,,db/journals/lncs/lncs546.html#WachsmuthG91,,1991,Armando Segura-Naya|Bailey C. Davis,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Junsong Yuan,Cloud computing|Artificial intelligence|Big data,reject,Consectetur voluptatem modi aliquam sit.,accept,Magnam dolor ut aliquam modi ut sed etincidunt.,Demo Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
27,159874,Jan Wilms,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_89,,,journals/lncs/Wilms91,2017-05-20,,,,,711-718,,,,The Text Understanding System LEU/2.,,,db/journals/lncs/lncs546.html#Wilms91,,1991,Karl-Hans Bläsius|Sara H. Vollmer,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,David H. Stern,Cryptography|Natural language processing,reject,Sed aliquam ipsum tempora sit.,reject,Quisquam sed sed quisquam quiquia.,Demo Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
28,159875,James Clifford,,,Advanced Database Systems,,,,journals/lncs/1993-759,,,https://doi.org/10.1007/3-540-57507-3_8,,,journals/lncs/Clifford93,2017-05-20,,,,,153-173,,,,Indexical Databases.,,,db/journals/lncs/lncs759.html#Clifford93,,1993,Michelle Riske-Morris|Syed Bilal Pasha,Boaz Nadler|Manfred Georg|Katherine A. Austin,Computer graphics|Human-computer interaction|Computer vision|Natural language processing,Symposium,Boaz Nadler,Computer vision,accept,Modi labore est aliquam non quisquam neque.,accept,Voluptatem neque porro tempora non.,Demo Paper,Artificial intelligence|High-performance computing|Distributed computing|Natural language processing|Computer graphics
29,159876,Jochen Dörre|Roland Seiffert,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_48,,,journals/lncs/DorreS91,2017-05-20,,,,,33-38,,,,A Formalism for Natural Language - STUF.,,,db/journals/lncs/lncs546.html#DorreS91,,1991,Petra Scheffler|Brian P. Coppola,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Sreangsu Acharyya,Natural language processing,reject,Consectetur neque est amet quaerat consectetur est.,accept,Labore adipisci eius dolorem non voluptatem.,Demo Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
30,159877,Arie Segev|Rakesh Chandra,,,Advanced Database Systems,,,,journals/lncs/1993-759,,,https://doi.org/10.1007/3-540-57507-3_10,,,journals/lncs/SegevC93,2017-05-20,,,,,191-212,,,,A Data Model for Time-Series Analysis.,,,db/journals/lncs/lncs759.html#SegevC93,,1993,Jose A. García 0001|James P. Collins,Boaz Nadler|Manfred Georg|Katherine A. Austin,Computer graphics|Human-computer interaction|Computer vision|Natural language processing,Symposium,Boaz Nadler,Cybersecurity|Deep learning|Machine learning,reject,Amet modi neque dolor.,reject,Dolore quaerat est quiquia velit velit aliquam porro.,Short Paper,Artificial intelligence|High-performance computing|Distributed computing|Natural language processing|Computer graphics
31,159878,Pascal Van Hentenryck|Vijay A. Saraswat|Yves Deville,,,Constraint Programming,,,,journals/lncs/1994-910,,,https://doi.org/10.1007/3-540-59155-9_15,,,journals/lncs/HentenryckSD94,2017-05-20,,,,,293-316,,,,"Design, Implementation, and Evaluation of the Constraint Language cc(FD)",,,db/journals/lncs/lncs910.html#HentenryckSD94,,1994,Christian Stangier|Timothy N. Atkinson,Horst Schmitt|Philip M. Long|Jeffrey T. Mason|George R. Hoffmann,Cryptography|Deep learning|Human-computer interaction|High-performance computing,Regular,George R. Hoffmann,Quantum computing|Cloud computing,accept,Non dolore velit quaerat amet quisquam etincidunt sit.,accept,Ut quisquam consectetur aliquam etincidunt.,Demo Paper,Algorithm analysis|Distributed computing|Machine learning|Human-computer interaction
32,159880,Godehard Link|Hinrich Schütze,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_68,,,journals/lncs/LinkS91,2017-05-20,,,,,342-352,,,,The Treatment of Plurality in L-LILOG.,,,db/journals/lncs/lncs546.html#LinkS91,,1991,Jakob Passweg|Toni Bollinger,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Junsong Yuan,Algorithm analysis|Machine learning|Computer networks,reject,Voluptatem sit sed eius quisquam.,accept,Porro numquam numquam modi quiquia quiquia.,Poster,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
33,159881,Frédéric Benhamou,,,Constraint Programming,,,,journals/lncs/1994-910,,,https://doi.org/10.1007/3-540-59155-9_1,,,journals/lncs/Benhamou94,2017-05-20,,,,,1-21,,,,Interval Constraint Logic Programming,,,db/journals/lncs/lncs910.html#Benhamou94,,1994,Jessica Smith Rolston|Qian Wang,Horst Schmitt|Philip M. Long|Jeffrey T. Mason|George R. Hoffmann,Cryptography|Deep learning|Human-computer interaction|High-performance computing,Regular,Philip M. Long,Natural language processing,reject,Dolor tempora quisquam quaerat neque dolor.,reject,Consectetur magnam adipisci neque labore porro adipisci.,Poster,Algorithm analysis|Distributed computing|Machine learning|Human-computer interaction
34,159882,Claudia Maienborn,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_82,,,journals/lncs/Maienborn91,2017-05-20,,,,,621-631,,,,Verbs of Motion and Position: On the Optionality of the Local Argument.,,,db/journals/lncs/lncs546.html#Maienborn91,,1991,Michele Farisco|Ivo Maathuis,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Sreangsu Acharyya,Robotics|Human-computer interaction|High-performance computing,accept,Porro eius eius numquam non quisquam adipisci ut.,accept,Ut dolor porro voluptatem quaerat numquam quiquia magnam.,Demo Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
35,159883,Michel Rueher,,,Constraint Programming,,,,journals/lncs/1994-910,,,https://doi.org/10.1007/3-540-59155-9_13,,,journals/lncs/Rueher94,2017-05-20,,,,,231-250,,,,An Architecture for Cooperating Constraint Solvers on Reals,,,db/journals/lncs/lncs910.html#Rueher94,,1994,William T. Lynch|D. Marx,Horst Schmitt|Philip M. Long|Jeffrey T. Mason|George R. Hoffmann,Cryptography|Deep learning|Human-computer interaction|High-performance computing,Regular,Horst Schmitt,Computer vision|High-performance computing|Human-computer interaction,reject,Labore adipisci modi quiquia ipsum adipisci dolor dolorem.,accept,Ipsum dolorem dolor voluptatem velit numquam.,Poster,Algorithm analysis|Distributed computing|Machine learning|Human-computer interaction
36,159884,Petra Ludewig,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_59,,,journals/lncs/Ludewig91,2017-05-20,,,,,153-166,,,,Incremental Vocabulary Extensions in Text Understanding Systems.,,,db/journals/lncs/lncs546.html#Ludewig91,,1991,David D. Woods|Fabrice Jotterand,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,David H. Stern,Quantum computing,reject,Dolore eius tempora eius eius.,reject,Neque dolorem labore dolore.,Poster,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
37,159885,Tibor Kiss,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_61,,,journals/lncs/Kiss91,2017-05-20,,,,,183-199,,,,The Grammars of LILOG.,,,db/journals/lncs/lncs546.html#Kiss91,,1991,Andrew Sixsmith|Nicholas G. Evans,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Junsong Yuan,Human-computer interaction,accept,Quisquam adipisci adipisci voluptatem quiquia voluptatem eius.,reject,Adipisci sed dolore adipisci ut quisquam est.,Poster,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
