rownum,id,author,author-aux,author-orcid,booktitle,cdate,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,journal,key,mdate,month,note,note-label,note-type,number,pages,publisher,publnr,publtype,sub,sup,title,title-bibtex,tt,url,volume,year,reviewers,editors,journal_keywords,supervisor,paper_keywords,decison_reviewer_0,review_reviewer_0,decison_reviewer_1,review_reviewer_1,paper_type,volume_keywords
10,11,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0169-12-91-165,2019-10-25,December,,,,,,,,informal,,,Object Data Language Facilities for Multimedia Data Types.,,,db/journals/gtelab/index.html#TR-0169-12-91-165,GTE Laboratories Incorporated TR-0169-12-91-165,1991,Patrick Reuther|Herbert J. Leass,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Andreas Köhler,Computer networks|Distributed computing|Cybersecurity|Natural language processing,accept,Voluptatem modi amet dolore.,reject,Quaerat est aliquam eius quisquam dolorem porro.,Demo Paper,Computer vision|Data mining|Deep learning|High-performance computing|Artificial intelligence
11,12,Alejandro P. Buchmann|Frank Manola|Mark F. Hornick,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TM-0332-11-90-165,2019-10-25,December,,,,,,,,informal,,,Object Data Model Facilities for Multimedia Data Types.,,,db/journals/gtelab/index.html#TM-0332-11-90-165,GTE Laboratories Incorporated TM-0332-11-90-165,1990,Hans-Joachim Goltz|Filippo Santoni de Sio,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Jaakko Peltonen,Computer vision|Cybersecurity|Deep learning|Information theory|Quantum computing,accept,Labore labore numquam consectetur eius magnam sit.,accept,Quiquia non dolore dolorem.,Short Paper,Algorithm analysis|Computer graphics|Artificial intelligence
12,13,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TM-0014-06-88-165,2019-10-25,June,,,,,,,,informal,,,Distributed Object Management Technology.,,,db/journals/gtelab/index.html#TM-0014-06-88-165,GTE Laboratories Incorporated TM-0014-06-88-165,1988,Donald D. Chamberlin|Anna Julie Rasmussen,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Jaakko Peltonen,Deep learning|Distributed computing|Machine learning|Algorithm analysis,reject,Dolor dolor dolore porro eius.,accept,Porro tempora porro dolore modi.,Full Paper,Big data|Quantum computing|Data mining|Cybersecurity
13,14,Benjamin Hurwitz|Farshad Nayeri,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0236-09-93-165,2019-10-25,July,,,,,,,,informal,,,Experiments with Dispatching in a Distributed Object System.,,,db/journals/gtelab/index.html#TR-0236-09-93-165,GTE Laboratories Incorporated TR-0236-09-93-165,1993,Joe D. Morrison|Laurens Landeweerd,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Andreas Köhler,High-performance computing|Cloud computing|Human-computer interaction|Computer vision|Computer networks,accept,Dolor velit modi ipsum numquam amet modi.,reject,Voluptatem eius est dolor ipsum.,Full Paper,Big data|Data mining|High-performance computing|Distributed computing|Robotics
14,15,Michael Stonebraker,,,,,,,,,,,,,,University of California at Berkeley,tr/ucb/erl-m79-28,2017-06-08,May,,,,,,,,informal,,,Muffin: A Distributed Database Machine,,,,University of California at Berkeley UCB/ERL M79/28,1979,Matteo Pascucci|Ekkehard W. Sachs,Masanori Kawakita|Dmitry Kropotov|Amit P. Sheth,Distributed computing|Cloud computing|Cybersecurity|Data mining|Algorithm analysis,Amit P. Sheth,Cloud computing|Computational complexity|Cryptography,reject,Numquam amet quiquia non consectetur.,accept,Quiquia dolore quiquia magnam eius aliquam aliquam.,Full Paper,Deep learning|Big data|Natural language processing
15,16,Cetin Ozbutun|David Beech,,,,,SQL/X3H2-90-412.pdf,,,,,,,,,ANSI X3H2,tr/sql/X3H2-90-412,2019-10-25,,,,,,,,,informal,,,Object Oriented DBMS as a Generalization of Relational DBMS,,,db/conf/x3h2/index.html#X3H2-90-412,ANSI X3H2 X3H2-90-412,1990,Ingrid Renz|Volker Schulz 0001,Emily Bell|Doris Entner|Ravi Ganti,Big data|Quantum computing|Human-computer interaction,Emily Bell,Cryptography|Cybersecurity|Natural language processing,accept,Sed magnam quiquia neque.,reject,Ut labore magnam consectetur etincidunt porro modi.,Demo Paper,Big data|Computer vision|Cybersecurity
16,17,Jim Melton|Jonathan Bauer|Krishna G. Kulkarni|Mike Kelley,,,,,SQL/x3h2-91-133rev1.pdf,,,,,,,,,ANSI X2H2,tr/sql/X3H2-91-133rev1,2019-10-25,July,,,,,,,,informal,,,Inheritance for ADTs (revised),,,db/conf/x3h2/index.html#X3H2-91-133rev1,ANSI X2H2 DBL:KAW-006 X3H2-91-133rev1,1991,Jürgen Pietsch|Eugenijus Gefenas,David Kempe 0001|Alexander Kaplan|Petr Houdek|Angie A. Kehagia|Alex John London,Cybersecurity|Distributed computing|Artificial intelligence,Petr Houdek,Computer networks|Information theory|High-performance computing|Cryptography|Deep learning,reject,Velit aliquam est dolore numquam porro aliquam quiquia.,accept,Neque est labore dolorem numquam dolorem dolorem tempora.,Short Paper,Human-computer interaction|Algorithm analysis|Data mining
17,18,Phil Shaw,,,,,SQL/X3H2-90-292.pdf,,,,,,,,,ANSI X3H2,tr/sql/X3H2-90-292,2019-10-25,,,,,,,,,informal,,,Modification of User Defined Types,,,db/conf/x3h2/index.html#X3H2-90-292,ANSI X3H2 X3H2-90-292,1990,Michael Davis|Simone Pribbenow,Emily Bell|Doris Entner|Ravi Ganti,Big data|Quantum computing|Human-computer interaction,Emily Bell,Deep learning|Computer graphics|Algorithm analysis|Artificial intelligence|Distributed computing,reject,Non eius neque neque.,reject,Porro quisquam ipsum eius aliquam.,Short Paper,Cybersecurity|Robotics|Natural language processing
18,19,Jim Melton|Jonathan Bauer|Krishna G. Kulkarni,,,,,SQL/X3H2-91-083rev1.pdf,,,,,,,,,ANSI X3H2,tr/sql/X3H2-91-083rev1,2019-10-25,April,,,,,,,,informal,,,Object ADTs (with improvements for Value ADTs),,,db/conf/x3h2/index.html#X3H2-91-083rev1,ANSI X3H2 DBL:ARL-029 X3H2-91-083rev1,1991,Mikail Gevantmakher|Hans-Joachim Goltz,Emily Bell|Doris Entner|Ravi Ganti,Big data|Quantum computing|Human-computer interaction,Emily Bell,High-performance computing|Human-computer interaction|Computer graphics|Algorithm analysis,reject,Dolor etincidunt ipsum eius dolorem ut quiquia.,accept,Labore sed sed sed.,Full Paper,Information theory|Cloud computing|Algorithm analysis
19,20,David Beech,,,,,,,,,,,,,,ANSI X3H2,tr/sql/X3H2-92-062,2019-10-25,,,,,,,,,informal,,,Unification of Value and Object ADTs,,,db/conf/x3h2/index.html#X3H2-92-062,ANSI X3H2 X3H2-92-062,1992,Barry D. Solomon|Ibo van de Poel,Emily Bell|Doris Entner|Ravi Ganti,Big data|Quantum computing|Human-computer interaction,Ravi Ganti,Data mining|Natural language processing|Information theory|High-performance computing,accept,Etincidunt numquam aliquam neque neque ut porro numquam.,reject,Adipisci labore neque aliquam est consectetur sed aliquam.,Full Paper,Computer graphics|Quantum computing|Human-computer interaction
20,21,Rolf Sander,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS191,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,,,,IWBS Report 191,1991,Laura Palucki Blake|Michael Lemaster,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alina Beygelzimer,High-performance computing|Computer networks|Algorithm analysis,accept,Neque magnam ipsum non dolore quiquia aliquam quisquam.,reject,Aliquam voluptatem neque quisquam ut.,Short Paper,Quantum computing|Data mining|Cryptography|Algorithm analysis
21,22,Thomas Ludwig 0001,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG59,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Algebraical Optimization of FTA-Expressions,,,,LILOG-Report 59,1988,Dena Plemmons|Rob Lawlor,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Roi Livni,Computer networks|Cryptography|Data mining,accept,Ut aliquam sit sed sed magnam.,accept,Quiquia labore numquam adipisci est numquam.,Full Paper,Algorithm analysis|Deep learning|Artificial intelligence
22,23,Claus-Rainer Rollinger|Werner Emde,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG15,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Wissensrepräsentation und Maschinelles Lernen,,,,LILOG-Report 15,1987,M. Tamer Özsu|Nassim Kazitani,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Roi Livni,Robotics|Computational complexity|Human-computer interaction|Algorithm analysis,accept,Quaerat ut voluptatem magnam numquam consectetur quaerat neque.,accept,Neque consectetur ipsum velit magnam modi neque.,Demo Paper,Computer graphics|Algorithm analysis|Natural language processing
23,24,Christoph Beierle|Hans Uszkoreit|Udo Pletat,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG40,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,An Algebraic Characterization of STUF,,,,LILOG-Report 40,1988,Wandi Bruine de Bruin|Janice M. Ballou,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Silvia Villa,Natural language processing|Machine learning|Cryptography|Artificial intelligence,reject,Neque tempora neque voluptatem quiquia.,accept,Porro ut ut velit porro.,Full Paper,Natural language processing|Computer graphics|Human-computer interaction|Deep learning
24,25,Ido Dagan|Ulrike Rackow|Ulrike Schwall,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS225,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,,,,IWBS Report 225,1992,Fabrice O. Morin|Mirjam Sophia Glessmer,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Robotics|Data mining|Natural language processing|Artificial intelligence,accept,Ipsum etincidunt aliquam sed adipisci non neque.,accept,Magnam non eius non.,Short Paper,Computer graphics|Big data|Data mining|Computational complexity
25,26,Brigitte Bartsch-Spörl,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM2,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Zur Systemarchitektur von LILOG,,,,LILOG-Memo 2,1987,Przemyslawa Kanarek|Ulrike Rackow,Thierry C. Pauchant|Kilho Shin|D. Marx|Kim Steenstrup Pedersen,Quantum computing|Cloud computing|Distributed computing|High-performance computing|Natural language processing,Kim Steenstrup Pedersen,Cryptography|Quantum computing|Information theory,accept,Numquam magnam quisquam sit sed etincidunt.,accept,Ut modi labore modi.,Demo Paper,Computer vision|Cloud computing|Computational complexity
26,27,Burkhard Kehrbusch|Erich Gehlen,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG61,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,,,,LILOG-Report 61,1988,Elisabeth Breidt|Shengli Fu,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Russell George Thompson,Cloud computing|Cybersecurity|Computer networks|Machine learning,accept,Dolorem labore velit quisquam.,accept,Quisquam neque quisquam amet magnam voluptatem dolorem.,Full Paper,Computational complexity|Big data|Cybersecurity|Human-computer interaction|Cloud computing
27,28,Gert Smolka|Markus Höhfeld,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG53,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Definite Resolution over Constraint Languages,,,,LILOG-Report 53,1988,Kathleen M. Vogel|Markus Müller-Olm,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Russell George Thompson,Deep learning|Cryptography|Distributed computing|Computer networks|Machine learning,reject,Adipisci ut est sit dolore.,accept,Non porro quiquia est tempora modi dolore magnam.,Short Paper,Cryptography|Cloud computing|Robotics|Computer vision
28,29,Birgit Wesche,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM9,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Dokumentation der Syntax der LILOG-Grammatik,,,,LILOG-Memo 9,1988,Edward J. Calabrese|Anjali Truitt,Thierry C. Pauchant|Kilho Shin|D. Marx|Kim Steenstrup Pedersen,Quantum computing|Cloud computing|Distributed computing|High-performance computing|Natural language processing,D. Marx,Big data|Robotics|Data mining,accept,Labore ut porro aliquam amet ut labore.,reject,Modi ipsum ipsum modi sit amet consectetur labore.,Demo Paper,High-performance computing|Cybersecurity|Artificial intelligence|Cloud computing
29,30,Christopher Habel,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG45,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Cognitive Linguistics: The Processing of Spatial Concepts,,,,LILOG-Report 45,1988,Hugo Hellebrand|Somchai Wongwises,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Russell George Thompson,Information theory|Algorithm analysis|Cryptography|Quantum computing|Computer vision,accept,Labore dolore modi eius.,accept,Tempora sed quaerat adipisci adipisci neque etincidunt sed.,Demo Paper,Data mining|Distributed computing|Cybersecurity|Deep learning|High-performance computing
30,31,Albert Maier|Bernd Walter|Erich Gehlen|Michael Ley|Thomas Ludwig 0001,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG56,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,LILOG-DB: Database Support for Knowledge-Based Systems,,,,LILOG-Report 56,1988,Milos Cekic|Tricia Bertram Gallant,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Roi Livni,Data mining|Distributed computing|Deep learning|Big data|Computer networks,accept,Aliquam quisquam neque sit aliquam.,reject,Quisquam velit neque dolor.,Demo Paper,Algorithm analysis|Computer networks|Machine learning|Data mining
31,32,Erich Gehlen|Stefan Benzschawel|Thomas Ludwig 0001,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS201,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Differential Closure Computation for General Horn-Clause Queries,,,,IWBS Report 201,1991,Mika Suzuki|Mohammed Madadin,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alina Beygelzimer,Robotics|Cryptography|Artificial intelligence|Quantum computing|Big data,accept,Dolor aliquam neque velit neque.,accept,Est eius dolor quiquia velit modi sit modi.,Full Paper,Artificial intelligence|High-performance computing|Quantum computing|Human-computer interaction|Big data
32,33,,,,,,,,,,,,,,,IBM Publication,tr/ibm/G320-6590,2017-06-08,,"republished on ""ACM SIGMOD Anthology""",,,,,"IBM Corporation, White Plains, NY",,informal,,,SQL/Data System for VSE: A Relational Data System for Application Development.,,,,IBM Publication G320-6590,1981,Sean T. Powell|Prasanna Mithra,Rudy Setiono|Fabio Corradi|Li-Yang Tan|Ken-Yi Lin|Diego García-Saiz,Distributed computing|High-performance computing|Computational complexity,Ken-Yi Lin,Computer vision|Big data|Distributed computing|Artificial intelligence,reject,Ipsum dolore dolorem sed velit neque non modi.,reject,Quaerat adipisci dolor voluptatem modi quaerat amet eius.,Demo Paper,Cloud computing|Cybersecurity|Information theory
33,34,Egon Börger,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS111,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,A Logical Operational Semantics of Full Prolog,,,,IWBS Report 111,1990,Cristian Timmermann|Luisa María Gil-Martín,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Cloud computing|Data mining|Natural language processing|High-performance computing,accept,Sit magnam non labore quaerat quiquia.,reject,Consectetur est eius adipisci consectetur dolorem.,Full Paper,Robotics|Deep learning|Big data
34,35,Michael Ley,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG60,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,,,,LILOG-Report 60,1988,Julio R. Tuma|Ramón A. Feenstra,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Russell George Thompson,Machine learning|Computer vision|Quantum computing,reject,Modi ut velit velit numquam dolore.,accept,Ut dolorem quaerat consectetur quaerat magnam dolorem tempora.,Full Paper,Robotics|Computer graphics|Cybersecurity|Distributed computing|Computer networks
35,36,Roland Seiffert,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS228,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,How could a good system of practical NLP look like?,,,,IWBS Report 228,1992,Kenneth L. Deckert|Luciano Lenzini,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Big data|Cryptography|Deep learning|Information theory,accept,Amet eius magnam voluptatem voluptatem.,accept,Labore dolor dolor non dolor eius.,Demo Paper,Quantum computing|Distributed computing|Computer networks
36,37,Gisela Schöpke,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS188,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,,,,IWBS Report 188,1991,Hendrik F. Machiel Van der Loos|William J. Frey,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Artificial intelligence|Human-computer interaction|Natural language processing|Computer graphics,reject,Sed velit ipsum quiquia quiquia ipsum quisquam.,accept,Magnam est quisquam eius sed quisquam non.,Short Paper,Quantum computing|Cloud computing|Computer networks
37,38,Stefan Böttcher,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS87,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Attribute Inheritance Implemented on Top of a Relational Database System,,,,IWBS Report 87,1989,Lutz Voelkel|Pavol Kral,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alina Beygelzimer,Computational complexity|Data mining|Deep learning|Cybersecurity,reject,Quaerat quaerat quaerat dolorem tempora adipisci.,accept,Tempora adipisci sit labore porro dolore.,Short Paper,Human-computer interaction|Data mining|Artificial intelligence
